,balance
2025-01-01,1000.0
2025-01-02,990.0250000000001
2025-01-03,990.0250000000001
2025-01-04,990.0250000000001
2025-01-05,990.0250000000001
2025-01-06,990.0250000000001
2025-01-07,999.9064085867191
2025-01-08,999.9064085867191
2025-01-09,999.9064085867191
2025-01-10,985.6635906849976
2025-01-11,985.6635906849976
2025-01-12,985.6635906849976
2025-01-13,994.8137618031268
2025-01-14,994.8137618031268
2025-01-15,1009.7919265042751
2025-01-16,1000.0212249032965
2025-01-17,989.7470524983222
2025-01-18,989.7470524983222
2025-01-19,989.7470524983222
2025-01-20,989.7470524983222
2025-01-21,979.8743256496514
2025-01-22,970.1000792512963
2025-01-23,977.5609275302288
2025-01-24,987.1309874603766
2025-01-25,987.1309874603766
2025-01-26,987.1309874603766
2025-01-27,987.1309874603766
2025-01-28,989.2639296431327
2025-01-29,1004.3380850295144
2025-01-30,1005.7701582191689
2025-01-31,1005.8389041041869
2025-02-01,1005.8389041041869
2025-02-02,1005.8389041041869
2025-02-03,1006.8401318549343
2025-02-04,1011.0876977475386
2025-02-05,1016.8893717472243
2025-02-06,1020.8841871453741
2025-02-07,1009.0699039094638
2025-02-08,1009.0699039094638
2025-02-09,1009.0699039094638
2025-02-10,1016.7941996337719
2025-02-11,1026.9427907654972
2025-02-12,1026.9427907654972
2025-02-13,1026.7527112132952
2025-02-14,1034.6448616962384
2025-02-15,1034.6448616962384
2025-02-16,1034.6448616962384
2025-02-17,1034.6448616962384
2025-02-18,1044.971619728177
2025-02-19,1034.5480278213886
2025-02-20,1037.0956023398992
2025-02-21,1034.75381705908
2025-02-22,1034.75381705908
2025-02-23,1034.75381705908
2025-02-24,1026.7505737065587
2025-02-25,1044.776028139995
2025-02-26,1035.6581208427315
2025-02-27,1031.5680630142335
2025-02-28,1031.7169775132347
2025-03-01,1031.7169775132347
2025-03-02,1031.7169775132347
2025-03-03,1026.5583926256686
2025-03-04,1029.0862926675095
2025-03-05,1029.0862926675095
2025-03-06,1034.160782941699
2025-03-07,1034.160782941699
2025-03-08,1034.160782941699
2025-03-09,1034.160782941699
2025-03-10,1034.160782941699
2025-03-11,1028.9899790269906
2025-03-12,1028.0393169832487
2025-03-13,1023.8450291318555
2025-03-14,1031.5238668503446
2025-03-15,1031.5238668503446
2025-03-16,1031.5238668503446
2025-03-17,1039.260295851722
2025-03-18,1046.0075825504466
2025-03-19,1040.6131237984816
2025-03-20,1039.131762403345
2025-03-21,1026.270188448444
2025-03-22,1026.270188448444
2025-03-23,1026.270188448444
2025-03-24,1026.270188448444
2025-03-25,1023.1638770027041
2025-03-26,1012.5675241690718
2025-03-27,1003.1571982149327
2025-03-28,1005.709934654394
2025-03-29,1005.709934654394
2025-03-30,1005.3397072811672
2025-03-31,1000.6813849811218
2025-04-01,1000.6813849811218
2025-04-02,1013.1579274065597
2025-04-03,1036.1253785994577
2025-04-04,1025.790027947928
2025-04-05,1025.790027947928
2025-04-06,1020.6610778081882
2025-04-07,1028.3160358917496
2025-04-08,1020.5222354851819
2025-04-09,1031.0061647786754
2025-04-10,1025.5980266562935
2025-04-11,1020.4700365230121
2025-04-12,1020.4700365230121
2025-04-13,1020.4700365230121
2025-04-14,1020.4700365230121
2025-04-15,1020.4700365230121
2025-04-16,1009.8236898167264
2025-04-17,1004.0103493324723
2025-04-18,1015.2726566436327
2025-04-19,1015.2726566436327
2025-04-20,1015.2726566436327
2025-04-21,1015.2726566436327
2025-04-22,1012.6839017328144
2025-04-23,1011.5169185172274
2025-04-24,1002.5823798130298
2025-04-25,1002.4885467111719
2025-04-26,1002.4885467111719
2025-04-27,1002.4885467111719
2025-04-28,1002.4885467111719
2025-04-29,997.4761039776162
2025-04-30,992.4887234577282
2025-05-01,987.5262798404394
2025-05-02,992.4994036353004
2025-05-03,992.4994036353004
2025-05-04,991.8884982393573
2025-05-05,985.0082729880236
2025-05-06,1004.9228119965604
2025-05-07,1013.2627040716643
2025-05-08,1007.2433166775347
2025-05-09,1014.7976415526163
2025-05-10,1014.7976415526163
2025-05-11,1014.7976415526163
2025-05-12,1014.7976415526163
2025-05-13,1014.7976415526163
2025-05-14,1022.4835674547235
2025-05-15,1024.9263051005264
2025-05-16,1024.9263051005264
2025-05-17,1024.9263051005264
2025-05-18,1024.9263051005264
2025-05-19,1024.9263051005264
2025-05-20,1027.4501861268361
2025-05-21,1035.1560625227876
2025-05-22,1029.9802822101735
2025-05-23,1029.9802822101735
2025-05-24,1029.9802822101735
2025-05-25,1029.9802822101735
2025-05-26,1029.9802822101735
2025-05-27,1037.7051343267499
2025-05-28,1032.5166086551164
2025-05-29,1033.243312433534
2025-05-30,1021.8428020701662
2025-05-31,1021.8428020701662
2025-06-01,1023.448555796381
2025-06-02,1032.4199739664757
2025-06-03,1030.0998045901038
2025-06-04,1024.4769919819782
2025-06-05,1042.62693540151
2025-06-06,1042.62693540151
2025-06-07,1042.62693540151
2025-06-08,1042.62693540151
2025-06-09,1042.62693540151
2025-06-10,1021.9302700719638
2025-06-11,1037.4360886337406
2025-06-12,1047.670133344149
2025-06-13,1035.527164500249
2025-06-14,1035.527164500249
2025-06-15,1032.033525645221
2025-06-16,1032.033525645221
2025-06-17,1026.1512599304647
2025-06-18,1016.3414017974004
2025-06-19,1011.5471447894216
2025-06-20,1024.4217594599306
2025-06-21,1024.4217594599306
2025-06-22,1026.7772514881576
2025-06-23,1021.6433652307171
2025-06-24,1014.2537199863901
2025-06-25,1026.6811539540658
2025-06-26,1034.3812626087215
2025-06-27,1032.5043356739898
2025-06-28,1032.5043356739898
2025-06-29,1029.2093562956782
2025-06-30,1029.2093562956782
2025-07-01,1018.942992966629
2025-07-02,1029.1130311374602
2025-07-03,1034.187653260754
2025-07-04,1023.8716314194777
2025-07-05,1023.8716314194777
2025-07-06,1023.8716314194777
2025-07-07,1023.8716314194777
2025-07-08,1028.920407865803
2025-07-09,1028.920407865803
2025-07-10,1041.7490357525699
2025-07-11,1044.3143427531106
2025-07-12,1044.3143427531106
2025-07-13,1044.3143427531106
2025-07-14,1044.3143427531106
2025-07-15,1050.0244089730406
2025-07-16,1055.65501066553
2025-07-17,1046.7879872849603
2025-07-18,1036.3462771117931
2025-07-19,1036.3462771117931
2025-07-20,1036.3462771117931
2025-07-21,1036.3462771117931
2025-07-22,1042.2884042468568
2025-07-23,1061.4173747254592
2025-07-24,1051.8513122812817
2025-07-25,1046.592055719875
2025-07-26,1046.592055719875
2025-07-27,1046.592055719875
2025-07-28,1046.592055719875
2025-07-29,1046.592055719875
2025-07-30,1064.1325297062178
2025-07-31,1062.644589549483
2025-08-01,1046.396160828097
