time,side,entry,stop,take,reason
2024-01-02 08:00:00,1,1.10165,1.10106,1.10254,eql_sweep_fade
2024-01-03 08:15:00,-1,1.09627,1.09671,1.09562,eqh_sweep_fade
2024-01-09 07:00:00,1,1.09492,1.09455,1.09548,eql_sweep_fade
2024-01-10 07:45:00,-1,1.09363,1.09461,1.09216,eqh_sweep_fade
2024-01-12 14:30:00,1,1.09730,1.09647,1.09854,eql_sweep_fade
2024-01-22 08:45:00,1,1.08878,1.08831,1.08949,eql_sweep_fade
2024-01-25 13:30:00,1,1.08744,1.08680,1.08840,eql_sweep_fade
2024-01-26 08:45:00,1,1.08373,1.08319,1.08454,eql_sweep_fade
2024-01-29 07:30:00,-1,1.08490,1.08518,1.08447,eqh_sweep_fade
2024-01-30 10:30:00,1,1.08299,1.08244,1.08381,eql_sweep_fade
2024-01-31 08:45:00,-1,1.08222,1.08270,1.08150,eqh_sweep_fade
2024-02-06 09:00:00,-1,1.07440,1.07483,1.07376,eqh_sweep_fade
2024-02-07 16:00:00,1,1.07567,1.07494,1.07677,eql_sweep_fade
2024-02-09 08:00:00,-1,1.07786,1.07846,1.07696,eqh_sweep_fade
2024-02-13 07:15:00,-1,1.07751,1.07780,1.07708,eqh_sweep_fade
2024-02-14 07:00:00,-1,1.07139,1.07178,1.07081,eqh_sweep_fade
2024-02-16 15:00:00,1,1.07586,1.07469,1.07762,eql_sweep_fade
2024-02-19 13:00:00,1,1.07718,1.07685,1.07768,eql_sweep_fade
2024-02-20 07:30:00,-1,1.07712,1.07734,1.07679,eqh_sweep_fade
2024-02-21 14:15:00,-1,1.08146,1.08188,1.08083,eqh_sweep_fade
2024-02-23 10:00:00,1,1.08213,1.08163,1.08287,eql_sweep_fade
2024-02-27 10:30:00,1,1.08469,1.08423,1.08538,eql_sweep_fade
2024-02-29 07:45:00,-1,1.08381,1.08414,1.08331,eqh_sweep_fade
2024-03-01 10:45:00,1,1.08082,1.08026,1.08165,eql_sweep_fade
2024-03-04 08:45:00,1,1.08428,1.08385,1.08493,eql_sweep_fade
2024-03-05 14:15:00,-1,1.08541,1.08576,1.08488,eqh_sweep_fade
2024-03-07 07:45:00,1,1.08928,1.08903,1.08966,eql_sweep_fade
2024-03-07 14:30:00,-1,1.09055,1.09134,1.08937,eqh_sweep_fade
2024-03-11 10:00:00,1,1.09369,1.09321,1.09441,eql_sweep_fade
2024-03-14 10:15:00,-1,1.09430,1.09473,1.09366,eqh_sweep_fade
2024-03-22 14:00:00,-1,1.08232,1.08327,1.08090,eqh_sweep_fade
2024-03-26 14:30:00,1,1.08386,1.08337,1.08460,eql_sweep_fade
2024-03-27 07:15:00,-1,1.08331,1.08355,1.08295,eqh_sweep_fade
2024-04-03 08:30:00,1,1.07658,1.07633,1.07696,eql_sweep_fade
2024-04-03 13:15:00,-1,1.07793,1.07863,1.07688,eqh_sweep_fade
2024-04-04 07:30:00,-1,1.08447,1.08468,1.08416,eqh_sweep_fade
2024-04-05 07:00:00,-1,1.08279,1.08299,1.08249,eqh_sweep_fade
2024-04-09 08:00:00,1,1.08556,1.08516,1.08617,eql_sweep_fade
2024-04-09 12:30:00,-1,1.08626,1.08690,1.08529,eqh_sweep_fade
2024-04-10 10:00:00,-1,1.08593,1.08629,1.08539,eqh_sweep_fade
2024-04-11 08:45:00,1,1.07407,1.07365,1.07470,eql_sweep_fade
2024-04-11 15:00:00,-1,1.07341,1.07434,1.07202,eqh_sweep_fade
2024-04-15 14:00:00,1,1.06535,1.06460,1.06647,eql_sweep_fade
2024-04-16 10:15:00,-1,1.06284,1.06362,1.06167,eqh_sweep_fade
2024-04-18 12:45:00,1,1.06748,1.06703,1.06816,eql_sweep_fade
2024-04-19 12:00:00,-1,1.06439,1.06496,1.06354,eqh_sweep_fade
2024-04-23 10:45:00,-1,1.06605,1.06684,1.06487,eqh_sweep_fade
2024-04-24 07:15:00,1,1.06995,1.06940,1.07077,eql_sweep_fade
2024-04-25 14:30:00,1,1.06928,1.06799,1.07121,eql_sweep_fade
2024-04-26 07:15:00,-1,1.07302,1.07329,1.07262,eqh_sweep_fade
2024-04-30 07:45:00,1,1.07022,1.06948,1.07132,eql_sweep_fade
2024-05-02 13:30:00,1,1.06955,1.06902,1.07035,eql_sweep_fade
2024-05-03 08:30:00,1,1.07314,1.07285,1.07358,eql_sweep_fade
2024-05-06 07:45:00,-1,1.07646,1.07671,1.07609,eqh_sweep_fade
2024-05-07 08:45:00,-1,1.07694,1.07734,1.07633,eqh_sweep_fade
2024-05-08 09:00:00,1,1.07386,1.07344,1.07449,eql_sweep_fade
2024-05-08 15:15:00,-1,1.07541,1.07577,1.07487,eqh_sweep_fade
2024-05-09 13:30:00,1,1.07423,1.07327,1.07567,eql_sweep_fade
2024-05-10 14:15:00,1,1.07752,1.07717,1.07805,eql_sweep_fade
2024-05-13 07:45:00,-1,1.07724,1.07741,1.07698,eqh_sweep_fade
2024-05-14 10:30:00,-1,1.07893,1.07928,1.07841,eqh_sweep_fade
2024-05-15 12:00:00,1,1.08245,1.08211,1.08296,eql_sweep_fade
2024-05-17 16:30:00,-1,1.08688,1.08740,1.08610,eqh_sweep_fade
2024-05-27 07:15:00,1,1.08459,1.08440,1.08488,eql_sweep_fade
2024-05-29 13:15:00,-1,1.08569,1.08620,1.08492,eqh_sweep_fade
2024-05-31 09:00:00,1,1.08268,1.08219,1.08342,eql_sweep_fade
2024-06-03 09:45:00,1,1.08397,1.08349,1.08468,eql_sweep_fade
