strategy,window,edge_pnl,edge_pf,eval_pass,eval_days,eval_profit,funded_survived,funded_withdrawn,funded_weeks_paid,funded_total_made,funded_end_equity,trades_per_day
S1_session_break_retest,2024-2025,45939.03,1.237,True,240,10388.51,False,41949.17,35,35550.52,93601.34,2.338
S1_session_break_retest,2023-2024,60355.59,1.322,True,69,10423.21,True,48932.38,42,49932.38,101000.0,2.377
S1_session_break_retest,2026 H1,8465.85,1.167,True,86,10290.19,True,0.0,0,-1824.34,98175.66,2.345
S3_turtle_soup,2024-2025,103548.2,1.495,True,73,10403.39,True,91362.6,46,92362.6,101000.0,2.746
S3_turtle_soup,2023-2024,105209.97,1.485,True,100,10206.11,True,95333.25,48,93805.21,98471.96,2.731
S3_turtle_soup,2026 H1,21787.46,1.405,True,41,10089.7,True,10775.61,7,11697.77,100922.16,2.734
S4_asia_break_go,2024-2025,173192.52,3.421,True,30,10350.93,True,161327.28,83,162285.52,100958.24,1.904
S4_asia_break_go,2023-2024,200344.82,3.413,True,27,10140.53,True,189144.27,87,190204.29,101060.01,2.017
S4_asia_break_go,2026 H1,26633.55,2.407,True,61,10190.63,True,15320.74,12,16442.92,101122.18,1.709
S5_dual_liquidity_book,2024-2025,176407.15,1.667,True,38,10321.36,True,163886.16,65,164886.16,101000.0,3.637
S5_dual_liquidity_book,2023-2024,188563.82,1.706,True,30,10563.46,True,177000.36,70,178000.36,101000.0,3.604
S5_dual_liquidity_book,2026 H1,26073.13,1.362,True,29,10275.59,True,14797.54,9,15797.54,101000.0,3.603
S6_eq_liquidity_fade,2024-2025,161345.93,1.92,True,43,10213.24,True,150183.16,74,151132.68,100949.52,2.688
S6_eq_liquidity_fade,2023-2024,183465.37,2.06,True,20,10181.21,True,172284.16,76,173284.16,101000.0,2.656
S6_eq_liquidity_fade,2026 H1,35746.11,1.804,True,29,10590.97,True,24155.14,12,25155.14,101000.0,2.608
